               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.045138,            0.016195,            0.023435,             0.34056,                   1,             0.71788,             0.32055,            0.026349,           0.0080058,              0.0156,            0.003862,            0.003862,            0.003862
                  64,            0.043675,            0.015801,            0.023865,              0.4881,                   1,             0.82949,             0.42589,            0.024613,           0.0080165,            0.015304,            0.003763,            0.003763,            0.003763
                  65,            0.044795,            0.017272,            0.023768,              0.4881,                   1,             0.82949,             0.42589,            0.024613,           0.0080165,            0.015304,            0.003664,            0.003664,            0.003664
                  66,             0.04516,            0.014982,            0.024774,             0.49904,                   1,             0.81587,             0.39557,            0.023802,           0.0079769,            0.015015,            0.003565,            0.003565,            0.003565
                  67,            0.046065,            0.015586,            0.023994,             0.51267,                   1,             0.77986,             0.34669,            0.023118,           0.0079395,            0.014726,            0.003466,            0.003466,            0.003466
                  68,            0.044072,            0.017876,            0.023441,             0.51267,                   1,             0.77986,             0.34669,            0.023118,           0.0079395,            0.014726,            0.003367,            0.003367,            0.003367
                  69,            0.050177,            0.018263,            0.024495,             0.58138,             0.95176,             0.80769,             0.43239,            0.021023,            0.007886,            0.014449,            0.003268,            0.003268,            0.003268
                  70,            0.039136,              0.0152,            0.022293,             0.65349,               0.975,              0.8712,             0.29127,            0.028349,            0.007452,            0.014252,            0.003169,            0.003169,            0.003169
                  71,              0.0479,            0.017175,             0.02406,             0.65349,               0.975,              0.8712,             0.29127,            0.028349,            0.007452,            0.014252,             0.00307,             0.00307,             0.00307
                  72,            0.045089,            0.015103,            0.022061,             0.70094,             0.97492,             0.90287,             0.49077,            0.020387,           0.0077687,               0.014,            0.002971,            0.002971,            0.002971
                  73,            0.043745,            0.015801,            0.022655,             0.70094,             0.97492,             0.90287,             0.49077,            0.020387,           0.0077687,               0.014,            0.002872,            0.002872,            0.002872
                  74,             0.03754,            0.015585,            0.019915,             0.72308,             0.93338,             0.91517,             0.53725,            0.020135,           0.0077513,            0.013851,            0.002773,            0.002773,            0.002773
                  75,            0.047637,            0.014015,            0.022032,             0.70078,               0.925,             0.88059,             0.36966,            0.025824,           0.0074607,            0.013547,            0.002674,            0.002674,            0.002674
                  76,            0.044118,            0.016164,             0.02237,             0.70078,               0.925,             0.88059,             0.36966,            0.025824,           0.0074607,            0.013547,            0.002575,            0.002575,            0.002575
                  77,            0.042245,            0.015802,            0.021282,             0.72562,             0.90115,             0.91238,             0.44781,            0.025012,            0.007421,            0.013414,            0.002476,            0.002476,            0.002476
                  78,            0.043319,            0.014861,            0.022298,             0.77219,             0.93934,             0.90303,             0.42485,            0.023361,           0.0075161,            0.013283,            0.002377,            0.002377,            0.002377
                  79,            0.046365,            0.015112,             0.01892,             0.77219,             0.93934,             0.90303,             0.42485,            0.023361,           0.0075161,            0.013283,            0.002278,            0.002278,            0.002278
                  80,            0.037682,            0.014369,            0.020247,              0.7491,                0.95,             0.91909,             0.54957,            0.020381,           0.0074954,            0.013158,            0.002179,            0.002179,            0.002179
                  81,            0.040506,            0.013939,            0.021548,              0.7491,                0.95,             0.91909,             0.54957,            0.020381,           0.0074954,            0.013158,             0.00208,             0.00208,             0.00208
                  82,            0.038617,            0.013717,            0.021736,             0.70806,                0.95,             0.91706,             0.56526,            0.020005,           0.0074746,            0.013098,            0.001981,            0.001981,            0.001981
                  83,            0.041699,            0.016697,            0.022909,             0.70075,                0.95,             0.91881,             0.57156,            0.019841,           0.0074106,            0.013101,            0.001882,            0.001882,            0.001882
                  84,            0.043418,            0.015943,            0.021312,             0.70075,                0.95,             0.91881,             0.57156,            0.019841,           0.0074106,            0.013101,            0.001783,            0.001783,            0.001783
                  85,             0.04245,            0.015353,             0.02148,             0.79632,             0.91709,             0.92108,              0.5905,            0.019239,           0.0073875,            0.013062,            0.001684,            0.001684,            0.001684
                  86,            0.036067,            0.014772,             0.02351,             0.79774,               0.875,             0.92439,             0.58675,            0.019495,           0.0073057,            0.012945,            0.001585,            0.001585,            0.001585
                  87,            0.040181,             0.01656,            0.022486,             0.79774,               0.875,             0.92439,             0.58675,            0.019495,           0.0073057,            0.012945,            0.001486,            0.001486,            0.001486
                  88,            0.042947,            0.014905,            0.020981,             0.81809,             0.87419,             0.93174,             0.62359,            0.017934,           0.0073118,            0.012886,            0.001387,            0.001387,            0.001387
                  89,            0.043123,            0.013564,            0.022448,             0.81809,             0.87419,             0.93174,             0.62359,            0.017934,           0.0073118,            0.012886,            0.001288,            0.001288,            0.001288
                  90,            0.041479,            0.016038,            0.022522,             0.79684,               0.925,             0.93084,             0.62764,            0.017514,           0.0073038,            0.012828,            0.001189,            0.001189,            0.001189
                  91,            0.040626,            0.016688,            0.022139,             0.82124,             0.86576,             0.93828,             0.63017,            0.017269,           0.0072526,            0.012764,             0.00109,             0.00109,             0.00109
                  92,            0.038475,            0.016803,            0.021155,             0.82124,             0.86576,             0.93828,             0.63017,            0.017269,           0.0072526,            0.012764,            0.000991,            0.000991,            0.000991
                  93,            0.036673,            0.015138,            0.021031,             0.83504,             0.86308,             0.93876,             0.63141,            0.017328,           0.0072246,            0.012673,            0.000892,            0.000892,            0.000892
                  94,            0.044528,            0.015063,            0.021357,             0.83742,             0.86306,             0.94022,             0.62547,            0.017213,           0.0072054,            0.012631,            0.000793,            0.000793,            0.000793
                  95,            0.035772,            0.014367,            0.019827,             0.83742,             0.86306,             0.94022,             0.62547,            0.017213,           0.0072054,            0.012631,            0.000694,            0.000694,            0.000694
                  96,            0.034917,            0.014722,            0.019145,             0.84165,             0.86474,             0.94171,             0.64009,            0.017107,           0.0071781,            0.012639,            0.000595,            0.000595,            0.000595
                  97,            0.040447,            0.013716,            0.022338,             0.84165,             0.86474,             0.94171,             0.64009,            0.017107,           0.0071781,            0.012639,            0.000496,            0.000496,            0.000496
                  98,            0.036434,            0.014195,            0.019258,             0.83268,             0.86403,             0.94604,             0.63872,            0.017074,           0.0071844,            0.012624,            0.000397,            0.000397,            0.000397
                  99,            0.038668,            0.015752,            0.020031,             0.82576,             0.86525,             0.94458,             0.64143,            0.017058,           0.0071694,            0.012601,            0.000298,            0.000298,            0.000298
